iteration,max_houses,score,coordinates,type
0,20,6978400.0,"(32, 6)",maison
1,20,13517600.0,"(141, 161)",maison
2,20,12224400.0,"(45, 150)",maison
3,20,12687720.0,"(129, 69)",bungalow
4,20,12130440.0,"(117, 17)",bungalow
5,20,12447120.0,"(72, 60)",bungalow
6,20,12125160.0,"(91, 26)",bungalow
7,20,12204960.0,"(103, 50)",bungalow
8,20,12652410.0,"(143, 39)",sfh
9,20,12398760.0,"(131, 39)",sfh
10,20,12105660.0,"(47, 78)",sfh
11,20,11992860.0,"(62, 87)",sfh
12,20,11529210.0,"(48, 89)",sfh
13,20,11305260.0,"(59, 98)",sfh
14,20,11149410.0,"(48, 100)",sfh
15,20,10763010.0,"(59, 109)",sfh
16,20,10444710.0,"(47, 111)",sfh
17,20,9742470.0,"(105, 26)",sfh
18,20,9185580.0,"(116, 27)",sfh
19,20,8791140.0,"(120, 38)",sfh
